motion	docdate	title_block	signature_block	Unnamed: 4
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00125.xml	Stockholm den 28 Januari 1871.	Af Herr H. Hegermarck: Angdende ändringar i 9 och 27 $$ af gällande bevillningsstadga.	H. Hegermarck.Häruti förena vi oss. ÅA. Andersson i Intagan. A. Bäckström.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00163.xml	Stockholm den 28 Januari 1874.	Af Herr EF. Ad:son Palander: Om anslag för byggandet af en jern-väg mellan Wezxiö och Carlskrona.	F. Ad:son Palander.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00166.xml	Stockholm den 28 Januari 1874.	Af Herr Sven Andreasson från Elfsborgs län: Om ändring i 4 och 5 $S af Kongl. Förordningen den 24 September 1861, angående tillsyn å förmyndares förvaltning af omyndigs egendom.	Sven Andreasson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00009.xml	Stockholm den 22 Januari 1872.	Af Herr Sven Nilsson i Efveröd: Angående rättighet för församlin- garne i Skåne, Halland och Blekinge att uppbära den till Klockaren nu utgående helgonskyld.	Sven Nilsson i Efveröd.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00198.xml	Stockholm den 14 Februari 1872.	Af Herr B. Ehrenborg: Med förslag till ändringar i 9, 13, 16,18, 23 och 33 $$ af gällande Riksdags-ordning.	Rich. Ehrenborg.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00208.xml	Stockholm den 24 April 1872.	Af Herr Liss Olof Larsson: Med förslag till förändrad lydelse af 65 $ Biksdags-ordningen.	Liss Ol. Larsson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--ak--00010.xml	Stockholm den 25 Januari 1873.	Af Herr Anders Persson: Om nämndemäns rättighet till skjuts- ersättning vid vissa tjensteförrättningar samt om sättet för denna ersättnings uttaxzerande.	Anders Persson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--ak--00039.xml	Stockholm den 24 Januari 1873.	Åf Herr A. Johansson: Med förslag i afseende d grundskatternas afskrifvande.	ÅA. Johansson, från Jönköpings Län	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--fk--00039.xml	Stockholm den 22 Mars 1873.	Af Herr Wallenberg: Om uteslutande af 107. $ i RBegerings-formen.	ÅA. 0. Wallenberg.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00016.xml	Stockholm den 23 Januari 1874.	Af Herr Olof Nilsson: Om skjutsningsbesvärets skiljande från jord- bruket, samt om erforderliga medels anvisande för detta ändamål.	Olof Nilsson, från Westerbotten. Häruti instämma: L. J. Fahlander. Gustaf Heggström, C. E. Hjelm.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00065.xml	Stockholm den 27 Januari 1874.	Af Herr Johan Jönsson: Om förändrad lydelse af 7 Kap. 19 $ Rätte- gdångsbalken.	Johan Jönsson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00171.xml	Stockholm den 29 Januari 1874.	Af Herr Johannes Jonsson: Om underdånig hemställan till Kongl. Maj:t rörande ändring 1 Kongl. Kungörelsen den 27 September 1872 angdende expeditionslösen.	Joh. Jonson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--ak--00067.xml	Stockholm den 27 Januari 1875.	Af Herr A. W. Wigardt: Angående förhöjning i anslaget till folk- skoleinspektionen samt — förbättring af folkskoleinspektö- rernes aflöningsvilkor.	A. W. Wigardt. A. W. Wigardt.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--fk--00009.xml	Stockholm den 25 Januari 1875.	Af Herr Bergstedt: Angdende beviljande af 2,200 kronor till aflöning af en ytterligare öfverlärare i matematik vid Slöjdskolan i Stockholm.	Carl Fredr. Bergstedt.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--fk--00044.xml		Af Herr von Koch: Om ändring af gällende stadgand.n rö- rande skyldigheten att bygga och underhålla ky; a med Hera dertill hörande byggnader.	N. S. von Koch.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--ak--00120.xml	Stockholm den 28 Januari 1876.	Af Herr J. Rundbäck: Om ändring i Bevillningsförordningen i fråga om rusttjenstbevillnings erläggande.	J. Rundbäck, Riksdagsman från Göteborgs och Bohus län.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--fk--00014.xml	Stockholm den 28 Januari 1876	Af Herr Burenstam: Om anvisande af 7,500 kronor till under stöd åt de inbyggare inom Humla socken af Örebro län, hvilka lidit skada till följd af ett den 18 Augusti 1875 inträffadt skydrag	Axel Burenstam	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--fk--00019.xml	Januari 1870.	Af Herr Nordenfelt, Leonard Magnus: Angdende lastpenninyarnes afskaffande.	L. Nordenfelt.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1877/mot-1877--ak--00046.xml	Stockholm den 26 Januari 1877.	Af Herr Johan Jönsson: Om ändring af 4 $i Folkskolestadgan den 18 Juni 1842.	Johan Jönsson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1877/mot-1877--ak--00065.xml	Stockholm den 26 Januari 1877.	A4f Herr CO. I. Bengtsson: Om anslag till aflöning åt en djur- läkare inom Sunnerbo Härad.	C. I. Bengtsson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1877/mot-1877--ak--00094.xml	Stockholm den 27 Januari 1877.	Af Herr A. P. Lind: Om förändrad lydelse af $ 8 mom. b i Bevillningsstadgan.	A. P. Lind.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1878/mot-1878--ak--00074.xml	Stockholm den 25 Januari 1878.	Af Herr Jöns Rundbäck: Om underdånig skrifvelse rörande ändring af 3 kap. 22 $i PFiskeristadgan.	J. Bundbäck.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1878/mot-1878--fk--00003.xml	Stockholm den 21 Januari 1878.	Af Grefve Lewenhaupt, Claös Magzus: Om beviljande af ett anslag åa 2500 kronor under innevarande år åt Lektorn vid Kongl. Skogsinstitutet A. E. Holmgren för naturvetenskapliga forskningar.	Claés M. Lewenhaupt	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1878/mot-1878--fk--00037.xml	Stockholm den 13 April 1878.	Af Herr Wallenberg: Angående ändring af 65 $ RBiksdagsordningen.	ÅA. O. Wallenberg.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1879/mot-1879--ak--00018.xml	Stockholm den 24 Januari 1879.	Af Herr J. ÅA. Sjö: Angående utgifvande af Riksbankssedlar å en krona.	J. August Sjö. Häruti instämma: ÅA. Svenson, LDL. J. Larsson, Jöns Persson, Riksdagsman för Åse, Wiste, Barne från Jönköpings län. Riksdagsman för Sunnerbo härads och Laske domsaga. vestra valkrets. Carl Mejenqvist, FE. Andersson. J. Smedberg. från Jönköpings län. P. Engman. J. Jonasson, P. Westman. från Kronobergs län, ÅA. FE. Petersson, Carl Magni. C. I. Bengtsson. från Kronobergs län. Åke Andersson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1879/mot-1879--ak--00061.xml		Af Herr FE. T. Borg: Om ändring af $ 14i Riksdagsordningen.	F. T. Borg	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1879/mot-1879--ak--00080.xml	Stockholm den 28 Januari 1879.	Af Herr Per Nilsson i Espö: Om anvisande af medel till hamn- byggnad vid fiskeläget Smye i Ostra Torps socken.	Per Nilsson i Espö.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1880/mot-1880--ak--00008.xml	Stockholm den 23 Januari 1880.	Af Herr Anders Bengtsson: Med förslag till förändrade be- stämmelser angående skyldighet att deltaga i kostnaden för byggnad och underhåll af tingshus och häradsfängelse.	Anders Bengtsson, Kärrsmossen.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1880/mot-1880--ak--00021.xml	Stockholm den 24 Januari 1880.	Af Herr J. O. Boström: Angående bidrag af statsmedel för af- lönande af biträdande lärare och lärarinnor vid folkskolor samt lärare och lärarinnor vid mindre skolor.	J. O. Boström.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1880/mot-1880--ak--00103.xml	Stockholm den 26 Januari 1880.	Af Herr N. L. Sjöblom: Om beviljande af ett förslagsanslag till bestridande af kostnaderna för anställande af uwnder- sökning och försök för utrönande af den Wedelinska spritkontrollapparatens användbarhet vid brämnerierna i riket.	S. DL. Sjöblom.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1881/mot-1881--ak--00008.xml	Stockholm den 25 Januari 1881.	Af Herr Isaac Asklöf: Om ändring i 42 $ af Kongl. Förord- ningen angående hushållningen med de allmänna skogarne 2 riket af den 29 Juni 1866.	Isaac Asklöf.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1881/mot-1881--ak--00155.xml	Stockholm den 28 Januari 1881.	Af Herr K. J. Berg: Angående skrifvelse till Kongl. Maj:t med begäran om utredning luruvida och under hvilka vilkor stats- makten må kunna ikläda sig ansvar för förluster, som af embetsmän genom felaktig embetsförvaltning vållas.	K. J. Berg.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1881/mot-1881--ak--00162.xml	Stockholm den 28 Januari 1881.	Af Herr Aug. Wengberg: Angående anvisande af anslag för utvidgande af treklassiga elementarläroverket i Trelleborg.	Aug. Wengberg.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1882/mot-1882--ak--00012.xml	Stockholm den 25 Januari 1882.	Af Ierr J. A. Öberg: Om ändring i 14 $ Riksdagsordningen.	Joh. Aug. Öberg.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1882/mot-1882--ak--00093.xml	Stockholm den 27 Januari 1882.	Af Herr Aug. Bokström: Om underdånig skrifvelse med till- styrkande af bifall till det af landsstatskomiterade fram- stälda förslag om stämmoböters utbytande mot en lämp- lig indrifmingsafgift.	Aug. Bokström.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1882/mot-1882--fk--00022.xml		Af Herr Adlersparre: Om tillägg till gällande kommunalförfatt- ningar af bestämmelser för åstadkommande af kontroll öfver förvaltningen af medel, som donerats till allmänna ändamål.	Rudolf Adlersparre.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1883/mot-1883--ak--00006.xml	Stockholm den 22 Januari 1883.	Af Herr SÅ AA. Hedlund: Angående fastställande af vissa grunder vid behandling af frågan om landtförsvarets ombildning.	S. 4. Hedlund.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1883/mot-1883--ak--00031.xml	Stockholm den 25 Januari 1883.	Af Herr Carl Persson: Med förslag till förändrad lydelse af 24 kap. 32 $ Kyrkolagen.	Carl Persson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1883/mot-1883--ak--00044.xml	Stockholm den 26 Januari 1883.	Af Herr J. P. Nilsson: Angående ändring af $ 11 i Kongl. Förordningen angående kommunalstyrelse på landet den 21 Mars 1862.	J. P. Nilsson, Riksdagsman för Kalmar län,	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1884/mot-1884--ak--00015.xml	Stockholm den 18 Januari 1884.		C. Carlson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1884/mot-1884--ak--00067.xml	Stockholm den 25 Januari 1884.	Af Herr Liss OL Larsson: Angående förändrad lagstiftning rörande. försäljningen af vin och maltdrycker.	Liss Ol. Larsson. Häruti instämmer: S. M. Olsson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1884/mot-1884--fk--00038.xml	Stockholm den 27 Januari 1884.	Af Herr Rääf: Om aflåtande af skrifvelse till Kongl. Maj:t med begäran om förslag till förändrad lagstiftning angående fattigvården i riket.	Bengt Rääf.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1885/mot-1885--ak--00030.xml	Stockholm den 27 Januari 1885.	Af Herr J. Anderson i Tenhult: Med förslag till lag angående vägunderhållningsbesvärets utgörande på landet.	J. Anderson från Tenhult.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1885/mot-1885--ak--00142.xml	Stockholm den 29 Januari 1885.	Af Herr S. F. Norén: Om inrättande af ett Riksbankens afdel- nmingskontor i Borås eller Ulricehamn.	S. Fr. Norén. Härl instämmer J. Smedberg.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1885/mot-1885--fk--00053.xml	Stockholm den 29 Januari 1885.	Af Herr Nyström: Angående tiden för beväringens vapenöfning samt inrättande af landstorm.	J. E. Nyström.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1886/mot-1886--ak--00036.xml	Stockholm den 25 Januari 1886.	Af Herr H. I. Arwidsson: Om antagande af en författning angående skyldighet för utländsk man att i rättegång vid svensk domstol eller myndighet mot inländsk man ställa borgen för kostnad och skada.	IH. I. Arwidsson. I denna motion instämma: J. Sjöberg, ÅA. P. Trybom. Riksdagsman för Stockholm. Olof Ahlström, 4. Hedin. Riksdagsman för Malmö,	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1886/mot-1886--ak--00137.xml	Stockholm den 28 Januari 1886.	Af Herr J, B. Unger: Om ändring af bestämmelserna rörande nämndemans rätt till ersättning för extra förrättningar.	J. B. Unger.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1886/mot-1886--fk--00007.xml	Stockholm den 25 Januari 1886.	Af Herr Bäckström: Om aflåtande af skrifvelse till Kongl. Maj:t i fråga om vilkoren för telefonförbindelses upprättande å viss mark.	OC. 4. Bäckström.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1887/mot-1887-janmar-ak--00024.xml	Stockholm den 25 januari 1887.	Af herr L. Jönsson i Sandby, om wpphörande af skyldig- heten att förnya inteckningar, som blifvit i fastighetsbok införda.	Lasse Jönsson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1887/mot-1887-janmar-ak--00131.xml	Stockholm den 28 januari 1887.	Af herr ÅA. P. Lind, om skrifvelse till Kongl. Maj:t rörande inrättande af en pensionsanstalt för vid rikets småskolor och mindre folkskolor anstälde lärare och lärarinnor.	A. P. Lind.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1887/mot-1887-majjul-ak--00026.xml	Stockholm den 11 maj 1887.	Herr N. Nilsson i Vrängebol, om afskrifning af grundskatterna och lindring i rustnings- och roteringsbesvären.	Nils Nilsson i Yrängebol.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1888/mot-1888--ak--00024.xml	Stockholm den 23 januari 1888.	Af herr G, F. Östberg, om indragning af den agrikulturkemiska anstalten vid Ultuna och om åtgärders vidtagande för offentliggöramde af en utaf anstaltens föreståndare utarbetad sammanfattning af de vid anstalten vunna resultat.	G. F. Östberg.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1888/mot-1888--ak--00142.xml	Stockholm den 29 januari 1888.	Af herr J. E. Wiksten m. fl., om ändrade bestämmelser i afseende å förvaltningen af kronans domäner i öfre Norrland.	J. E. Wikstén. N. Boström. Nils Wallmark. J. Å. Lundström. Joh. Andersson. O. H. Ström.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1888/mot-1888--ak--00157.xml	Stockholm den 29 januari 1888.	Af herr G. A. Wändahl, om inrättande af ett riksbankens afdel- mngskontor i Sundsvall.	Gust. Ad. Wändahl.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1889/mot-1889--ak--00029.xml	Stockholm den 24 januari 1889.	Af herr G. Elowson, om ändrade vilkor för utgående af stats- anslaget till aflönande af lärare i slöjd vid folkskolor.	Gullbr. Elowson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1889/mot-1889--ak--00139.xml	Stockholm den 26 januari 1889.	Af herr P. Stockman, om ändring af 121 $ utsökningslagen.	Patrik Stockman.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1889/mot-1889--fk--00050.xml	Stockholm den 26 januari 1889.	Af herr Alin, om medgifvande af utsträckning i tiden för inne- hafvande af docentstipendier.	Oscar Alin.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1890/mot-1890--ak--00043.xml	Stockholm den 24 januari 1890.	Af herr H. Eriksson i Elqered, om ändrad lydelse af $ 22 i förordningen angående vilkoren för försäljning af bränvin m. m. den 29 Maj 1885.	Halvar Eriksson i Elgered.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1890/mot-1890--ak--00045.xml	Stockholm den 21 januari 1890.	Af herr J. Eliasson, om afskrifning med ytterligare 20 procent af grundskatterna och motsvarande lindring i rustnings- och roteringsbesvären.	Jan Eliasson från Upsala län. Häri instämma: Alfred Kihlberg. L. P. Mallmin. K. E. Holmgren.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1890/mot-1890--ak--00214.xml	Stockholm den 7 mars 1890.	Af herrar EB. Olsson i Kyrkebol och N. Pehrsson i Önnerud, om inrättande af et nytt provinsvalläkaredistrikt inom Vermlands län.	Nails Pehrsson. Hmal Olsson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1891/mot-1891--ak--00046.xml	Stockholm den 26 januari 1591.	Af herr J. Bengtsson i Gullåkra, om antagande af lag angår ende väghållningsbesvärets utgörande på landet.	J. Bengtsson. I motionens hufvudsyfte instämma: Sven Nilsson Anders Persson. Gunnar Eriksson. i Efveröd. Christian Balow. ÅA. Hansson N. Nilsson i Solberga. i Vrängebohl. 0. B. Olsson, Hans Andersson. Nils Nilsson, Maglehult. | Skärhus. P. Truedsson, Nils Persson, Per Holm. Haganäs. Vadensjö. C. G. Bruse. OC. Johansson, ÅA. Andersson, Esset. Intagan. Olof Olson, H. Eriksson. 0. Anderson, Stensdalen. Hasselbol. Bih. till Riksd. Prot. 1891. 1 Saml. 2 Afd. 2 Band. 8 Häft. 4 26 Motioner i Andra Kammaren, N:o 46. Per Ersson, P. G. Petersson, Jonas Andersson Vestlandaholm. Brystorp. i Vårgårda. S. M. Olsson. Lars Persson, Emil Olsson, Heljebol. Kyrkebol. J. Bromée. Anders Olsson, P. A. Hellgrén. Ornakärr. P. Norberg. Aug. Henricson. M. Dahn. P. Pehrson ÅA. G. Olson. Ivar Månsson. i Törneryd. Alfred Kihlberg. K. E. Holmgren. Magnus Andersson. Carl Persson. Nils Åkesson. Werner G. von Schwerin.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1891/mot-1891--ak--00184.xml	Stockholm den 2 april 1891.	Af herr M. Andersson i Stigen, om ändrad lydelse af $$ 71, 72 och 73 riksdagsordningen.	Magnus Andersson från Elfsborgs län.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1891/mot-1891--ak--00186.xml	Stockholm den 7 april 1891.	Af herr M) Dahn, med förslag till vissa bestämmelser i fråga om beräkningen af rote- och rusthållsvärde m. m. såsom vilkor för antagande af Kongl. Maj:ts proposition till ändrad lydelse af värnepligtslagen den 5 jum 1889.	M; Dahn.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1892/mot-1892--ak--00075.xml	Stockholm den 29 januari 1892.	Af herr O. W. Redelius, om tillägg till $ 14 i gällande be- villningsförordning.	0. W. Redelius.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1892/mot-1892--ak--00091.xml	Stockholm den 30 januari 1892.	Af herr N. Nilsson i Skärhus, om skrifvelse till Kongl. Maj:t rö- rande ifrågasatt ordnande af trafikförbindelsen mellan Sverige och Tyskland.	"Nils ""Nilsson, Färs härad."	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1892/mot-1892-urtima-fk--00002.xml	Stockholm den 28 oktober 1892.	Af herr Adelsköld, om afskrifning af grundskatter, m. m:	Cl. Adelsköld.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1893/mot-1893--ak--00096.xml	Stockholm den 26 januari 1893.	Af herr E. A. Edelstam, om lönereglering för läkaren vid Nyköpings hospital.	E. A. Edelstam.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1893/mot-1893--ak--00115.xml	Stockholm den 28 januari 1893.	Af herr G. Elowson, om beviljande af pension åt t.f. rektorn vid Åmåls läroverk L. J. Dalgrens enka och barn.	Gullbr. Elowson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1893/mot-1893--ak--00126.xml	Stockholm den januari 1893.	Af herr 8: Arnoldsson, med förslag till lag angående invallning.	Arnoldsson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1894/mot-1894--ak--00016.xml	Stockholm den 23 januari 1894.	Af herr J. Anderson i Tenhult, om ändrad lydelse af $ 11 i förordningen om kommunalstyrelse på landet den 21 mars 1862.	J. Anderson från Tenhult.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1894/mot-1894--ak--00170.xml	Stockholm den 20 april 1894	Af herr R. Björck, med anledning af Kongl. Maj:ts proposition om anslag till nya kasernetablissement m. m.	RB. Björck.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1894/mot-1894--fk--00024.xml	Stockholm den 28 januari 1894.	Af herr Cederberg, om anslag för anskaffning till Umeå provinskontor af kopior af vissa handlingar angående laga skiften.	A. F. O. Cederberg.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1895/mot-1895--ak--00052.xml	Stockholm den 26 januari 1895.	Af herr E. G. Fredholm i Saleby, om ändrad lydelse af 10 $ i förordningen angående lagfart å fång till fast egendom den 16 juni 1875, sådan den lyder i lagen den 31 decem- ber 1891.	E. Fredholm, från Skaraborgs län.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1895/mot-1895--ak--00112.xml	Stockholm den 27 januari 1895.	"Af ker DL. Eriksson i: Bäck, om ändrad lydelse af $ 11i förordningen ""On, kommunalstyrelse på landet den 21 mars 1862, sådan denna $ lyder i förordningen den. 26. oktober 1888."	Lars Eriksson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1895/mot-1895--fk--00046.xml	Stockholm den 27 januari 1895.	Af herr de Laval, om ökad tull å å finare slägs papper.	Gustaf de Laval.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1896/mot-1896--ak--00071.xml	Stockholm den 27 januari 1896.	Af herr OC. W. Collander, om skrifvelse till Kongl. Maj:t med begäran om utredning angående Nya Trollhätte kanal- bolags rättsförhållande till kronan m. m.	C. W. Collander.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1896/mot-1896--ak--00134.xml	Stockholm den 27 januari 1896.	Af herr O. G. Erikson i Öfra Odensvi, om skrifvelse till Kongl. Maj:t angående ändring af kongl. förordningen om försäljning af vin och maltdrycker den 24 oktober 1885 m. nm.	0. G. EFrikson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1896/mot-1896--ak--00174.xml	Stockholm den 28 januari 1896.	Af herr E. Svensson från Karlskrona, om skrifvelse till Kongl. Maj:t med begäran om utredning ang. förändrande af flot- tans station 1 Stockholm till depöt m. m.	Edv. Svensson. I motionens syfte instämma: P. Pehrson. Nils Jönsson. Sv. Arnoldsson. Aug. Peterson.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1897/mot-1897--ak--00104.xml	Stockholm den 26 januari 1897.	"Af herr O. H. Ström, om skrifvelse till Kongl. Maj:t med begäran om ""införande i flottningsstadgan af bestämmelse alt val af styrelse i flottningsförening skall inom viss tid anmälas hos Konungens befallningshafvande."	0. H. Ström.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1897/mot-1897--fk--00011.xml	Stockholm den 27 januari 1897.	Af herr Stephens, om tull a majsolja.	J.S. F. Stephens.	
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1897/mot-1897--fk--00018.xml	Stockholm den 28 januari 1897.	Af grefve Wachtmeister, Fredrik, om statsunderstöd äl vissa en- skilda läroverk.	FF. C:son Wachtmeister.	
