csv_row	parliament_year	motion_path	exact_match	precision	recall	f1	true_positives	false_positives	false_negatives	gold_signee_count	xml_predicted_signee_count	miss_rate	coverage	extra_rate	gold_ids	xml_predicted_ids	true_positive_ids	false_positive_ids	false_negative_ids	xml_body_ids	xml_metadata_ids	body_metadata_agree	signature_item_count	unknown_signature_count	missing_who_count	non_swerik_who_values	metadata_placeholder_count	metadata_non_swerik_values	xml_read_error	motion
12	1870	data/1870/mot-1870--ak--00215.xml	False	0.0	0.0	0.0	0	0	2	2	0	1.0	0.0	0.0	i-LV4qwHZuebFeCkPRrYTymH; i-QPqdt6oyauaJTMvLrNY52z				i-LV4qwHZuebFeCkPRrYTymH; i-QPqdt6oyauaJTMvLrNY52z			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--ak--00215.xml
13	1870	data/1870/mot-1870--fk--00049.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-MkpKqs9yn98uRBF1pm57dP	i-MkpKqs9yn98uRBF1pm57dP	i-MkpKqs9yn98uRBF1pm57dP			i-MkpKqs9yn98uRBF1pm57dP		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1870/mot-1870--fk--00049.xml
14	1871	data/1871/mot-1871--ak--00125.xml	False	1.0	0.3333333333333333	0.5	1	0	2	3	1	0.6666666666666666	0.3333333333333333	0.0	i-CyRoxEq2KbDs42MtkNnNiv; i-PpXkS4cgF1EgE9P8Av12WY; i-WPYsj5FcCBkGfYE9xtHntv	i-WPYsj5FcCBkGfYE9xtHntv	i-WPYsj5FcCBkGfYE9xtHntv		i-CyRoxEq2KbDs42MtkNnNiv; i-PpXkS4cgF1EgE9P8Av12WY	i-WPYsj5FcCBkGfYE9xtHntv		False	2	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00125.xml
15	1871	data/1871/mot-1871--ak--00163.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-7uuUnyJ3bq5XG4rgJmW78G				i-7uuUnyJ3bq5XG4rgJmW78G			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00163.xml
16	1871	data/1871/mot-1871--ak--00166.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-UAK3AB1CjWSo8XH9S5ZhDk	i-UAK3AB1CjWSo8XH9S5ZhDk	i-UAK3AB1CjWSo8XH9S5ZhDk			i-UAK3AB1CjWSo8XH9S5ZhDk		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1871/mot-1871--ak--00166.xml
17	1872	data/1872/mot-1872--ak--00009.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-BqxiGcrvRSyw7vSVD9ghzT				i-BqxiGcrvRSyw7vSVD9ghzT			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00009.xml
18	1872	data/1872/mot-1872--ak--00198.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-GPg5vqkZaJNKMwueErhxNf	i-GPg5vqkZaJNKMwueErhxNf	i-GPg5vqkZaJNKMwueErhxNf			i-GPg5vqkZaJNKMwueErhxNf		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00198.xml
19	1872	data/1872/mot-1872--ak--00208.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-37qgHWj8Zd858MSWDhN8Zo	i-37qgHWj8Zd858MSWDhN8Zo	i-37qgHWj8Zd858MSWDhN8Zo			i-37qgHWj8Zd858MSWDhN8Zo		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1872/mot-1872--ak--00208.xml
20	1873	data/1873/mot-1873--ak--00010.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-M8iT3fNaEahQCDyU7KD4Xo				i-M8iT3fNaEahQCDyU7KD4Xo			True	2	2	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--ak--00010.xml
21	1873	data/1873/mot-1873--ak--00039.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-E9wRrmWzHKZve8zXnpQf1w				i-E9wRrmWzHKZve8zXnpQf1w			True	2	2	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--ak--00039.xml
22	1873	data/1873/mot-1873--fk--00039.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-E7aB8B6ZVrFekyhd9pNoQt	i-E7aB8B6ZVrFekyhd9pNoQt	i-E7aB8B6ZVrFekyhd9pNoQt			i-E7aB8B6ZVrFekyhd9pNoQt		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1873/mot-1873--fk--00039.xml
23	1874	data/1874/mot-1874--ak--00016.xml	False	0.0	0.0	0.0	0	1	4	4	1	1.0	0.0	1.0	i-5GqnTURvMSP3hjBB327kuL; i-CWFbCpTNYcEzzAhNPvdKj9; i-Vob6hqQX7xJmVsZEt2LqUi; i-W25G9CwkvEKmT8UAjmJw3U	i-LuFYHhoNXD6PSHzC7CsSDs		i-LuFYHhoNXD6PSHzC7CsSDs	i-5GqnTURvMSP3hjBB327kuL; i-CWFbCpTNYcEzzAhNPvdKj9; i-Vob6hqQX7xJmVsZEt2LqUi; i-W25G9CwkvEKmT8UAjmJw3U	i-LuFYHhoNXD6PSHzC7CsSDs		False	3	2	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00016.xml
24	1874	data/1874/mot-1874--ak--00065.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-FxdNXf7jNvFd3tSPCRfsJN				i-FxdNXf7jNvFd3tSPCRfsJN			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00065.xml
25	1874	data/1874/mot-1874--ak--00171.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-2jDQuhvFoLEMg5TXt8wPgR				i-2jDQuhvFoLEMg5TXt8wPgR			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1874/mot-1874--ak--00171.xml
26	1875	data/1875/mot-1875--ak--00067.xml	False	0.5	1.0	0.6666666666666666	1	1	0	1	2	0.0	1.0	0.5	i-LuFYHhoNXD6PSHzC7CsSDs	i-LuFYHhoNXD6PSHzC7CsSDs; i-MuZZJeVubv6LTYMAZhgoZK	i-LuFYHhoNXD6PSHzC7CsSDs	i-MuZZJeVubv6LTYMAZhgoZK		i-LuFYHhoNXD6PSHzC7CsSDs; i-MuZZJeVubv6LTYMAZhgoZK		False	3	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--ak--00067.xml
27	1875	data/1875/mot-1875--fk--00009.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-AFafkqp43qaf9gEGTZMMhQ	i-AFafkqp43qaf9gEGTZMMhQ	i-AFafkqp43qaf9gEGTZMMhQ			i-AFafkqp43qaf9gEGTZMMhQ		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--fk--00009.xml
28	1875	data/1875/mot-1875--fk--00044.xml	False	0.0	0.0	0.0	0	1	1	1	1	1.0	0.0	1.0	i-MUyEorK3Jrs76puMnBfwJQ	i-Csc7yC4r8hvm8juPSLyuDt		i-Csc7yC4r8hvm8juPSLyuDt	i-MUyEorK3Jrs76puMnBfwJQ	i-Csc7yC4r8hvm8juPSLyuDt		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1875/mot-1875--fk--00044.xml
29	1876	data/1876/mot-1876--ak--00120.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-3ePoSaapEuMxyrxRtcXnE2	i-3ePoSaapEuMxyrxRtcXnE2	i-3ePoSaapEuMxyrxRtcXnE2			i-3ePoSaapEuMxyrxRtcXnE2		False	2	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--ak--00120.xml
30	1876	data/1876/mot-1876--fk--00014.xml	False	0.0	0.0	0.0	0	1	1	1	1	1.0	0.0	1.0	i-WmTdAfV5HETvBJeXjPDkNq	i-BWrrLCo5SxLJXHedGLLCjS		i-BWrrLCo5SxLJXHedGLLCjS	i-WmTdAfV5HETvBJeXjPDkNq	i-BWrrLCo5SxLJXHedGLLCjS		False	2	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--fk--00014.xml
31	1876	data/1876/mot-1876--fk--00019.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-FBVyR2c9ZXHBjh2ETNQb8U				i-FBVyR2c9ZXHBjh2ETNQb8U			True	0	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1876/mot-1876--fk--00019.xml
32	1877	data/1877/mot-1877--ak--00046.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-FxdNXf7jNvFd3tSPCRfsJN				i-FxdNXf7jNvFd3tSPCRfsJN			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1877/mot-1877--ak--00046.xml
33	1877	data/1877/mot-1877--ak--00065.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-266bJc5RtSGNFxNkBXfTw6	i-266bJc5RtSGNFxNkBXfTw6	i-266bJc5RtSGNFxNkBXfTw6			i-266bJc5RtSGNFxNkBXfTw6		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1877/mot-1877--ak--00065.xml
34	1877	data/1877/mot-1877--ak--00094.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-25EEgWidbVVQMzbXZMgAXZ				i-25EEgWidbVVQMzbXZMgAXZ			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1877/mot-1877--ak--00094.xml
35	1878	data/1878/mot-1878--ak--00074.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-3ePoSaapEuMxyrxRtcXnE2				i-3ePoSaapEuMxyrxRtcXnE2			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1878/mot-1878--ak--00074.xml
36	1878	data/1878/mot-1878--fk--00003.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-VQhNrVCrzk1PveUhY2rpJZ	i-VQhNrVCrzk1PveUhY2rpJZ	i-VQhNrVCrzk1PveUhY2rpJZ			i-VQhNrVCrzk1PveUhY2rpJZ		False	2	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1878/mot-1878--fk--00003.xml
37	1878	data/1878/mot-1878--fk--00037.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-E7aB8B6ZVrFekyhd9pNoQt	i-E7aB8B6ZVrFekyhd9pNoQt	i-E7aB8B6ZVrFekyhd9pNoQt			i-E7aB8B6ZVrFekyhd9pNoQt		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1878/mot-1878--fk--00037.xml
38	1879	data/1879/mot-1879--ak--00018.xml	False	1.0	0.07142857142857142	0.13333333333333333	1	0	13	14	1	0.9285714285714286	0.07142857142857142	0.0	i-266bJc5RtSGNFxNkBXfTw6; i-69ZLoSBPdFgrd1wNkm56PY; i-6XRq5NMShPXgkNELyP1nWR; i-89izzNXPgBWj2WAHiaRLG5; i-9kQEhG7b4RhJm3feAQj7DQ; i-B1TD61aoCX1X8inXyshE45; i-JSEJ4s9Z7CEa5xpm114bT2; i-JybGN9aHM3q5M4kgRwLipb; i-R97w3nuXuTMZKkdjArixv8; i-RdYE6KVYFYvYSD6eDEHsCg; i-S1hDhfBXq9vXtBfgz4QX6Z; i-SpE4p6y5t2Rpicx6uK8qTp; i-T4PCemjgWrppB1oqqmKKFp; i-TFZQYjpx1wcSHA6fwttW17	i-JSEJ4s9Z7CEa5xpm114bT2	i-JSEJ4s9Z7CEa5xpm114bT2		i-266bJc5RtSGNFxNkBXfTw6; i-69ZLoSBPdFgrd1wNkm56PY; i-6XRq5NMShPXgkNELyP1nWR; i-89izzNXPgBWj2WAHiaRLG5; i-9kQEhG7b4RhJm3feAQj7DQ; i-B1TD61aoCX1X8inXyshE45; i-JybGN9aHM3q5M4kgRwLipb; i-R97w3nuXuTMZKkdjArixv8; i-RdYE6KVYFYvYSD6eDEHsCg; i-S1hDhfBXq9vXtBfgz4QX6Z; i-SpE4p6y5t2Rpicx6uK8qTp; i-T4PCemjgWrppB1oqqmKKFp; i-TFZQYjpx1wcSHA6fwttW17	i-JSEJ4s9Z7CEa5xpm114bT2		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1879/mot-1879--ak--00018.xml
39	1879	data/1879/mot-1879--ak--00061.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-DE86LDEC7dgsNMqreAPcdK				i-DE86LDEC7dgsNMqreAPcdK			True	0	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1879/mot-1879--ak--00061.xml
40	1879	data/1879/mot-1879--ak--00080.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-ALf1dLQQ1zU42JvCjYwPAf				i-ALf1dLQQ1zU42JvCjYwPAf			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1879/mot-1879--ak--00080.xml
41	1880	data/1880/mot-1880--ak--00008.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-DWoRJk5rw6WHBeByBxHKMY				i-DWoRJk5rw6WHBeByBxHKMY			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1880/mot-1880--ak--00008.xml
42	1880	data/1880/mot-1880--ak--00021.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-Eh28M5AZY2tWhNydPzRYf3				i-Eh28M5AZY2tWhNydPzRYf3			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1880/mot-1880--ak--00021.xml
43	1880	data/1880/mot-1880--ak--00103.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-EN2Ltfa3VFVFqNbPXeanv				i-EN2Ltfa3VFVFqNbPXeanv			True	14	14	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1880/mot-1880--ak--00103.xml
44	1881	data/1881/mot-1881--ak--00008.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-4Cx4dJwPinjKGZyEZjBPZM	i-4Cx4dJwPinjKGZyEZjBPZM	i-4Cx4dJwPinjKGZyEZjBPZM			i-4Cx4dJwPinjKGZyEZjBPZM		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1881/mot-1881--ak--00008.xml
45	1881	data/1881/mot-1881--ak--00155.xml	False	0.1111111111111111	1.0	0.2	1	8	0	1	9	0.0	1.0	0.8888888888888888	i-F25NVHcBHh8Wvt6w7kLUBA	i-F25NVHcBHh8Wvt6w7kLUBA; i-GzcgHC81WecVydysZueFQ2; i-MbYpLQfZtjn59wD9ia9qcL; i-PpXkS4cgF1EgE9P8Av12WY; i-TYTRLcvnTBCfR2iBbM2cHU; i-Td2yJfZ5Qefi6A4TjBimJr; i-VLvjpdQ5xfXLC5LHymYTQx; i-VuLqMbgdBDWY874zTU3wuB; i-X2XD7JrVM6rYB4vDf23Zsg	i-F25NVHcBHh8Wvt6w7kLUBA	i-GzcgHC81WecVydysZueFQ2; i-MbYpLQfZtjn59wD9ia9qcL; i-PpXkS4cgF1EgE9P8Av12WY; i-TYTRLcvnTBCfR2iBbM2cHU; i-Td2yJfZ5Qefi6A4TjBimJr; i-VLvjpdQ5xfXLC5LHymYTQx; i-VuLqMbgdBDWY874zTU3wuB; i-X2XD7JrVM6rYB4vDf23Zsg		i-F25NVHcBHh8Wvt6w7kLUBA; i-GzcgHC81WecVydysZueFQ2; i-MbYpLQfZtjn59wD9ia9qcL; i-PpXkS4cgF1EgE9P8Av12WY; i-TYTRLcvnTBCfR2iBbM2cHU; i-Td2yJfZ5Qefi6A4TjBimJr; i-VLvjpdQ5xfXLC5LHymYTQx; i-VuLqMbgdBDWY874zTU3wuB; i-X2XD7JrVM6rYB4vDf23Zsg		False	11	2	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1881/mot-1881--ak--00155.xml
46	1881	data/1881/mot-1881--ak--00162.xml	False	0.5	1.0	0.6666666666666666	1	1	0	1	2	0.0	1.0	0.5	i-FErqYyg4ctnxLzmQuzsAZ5	i-FErqYyg4ctnxLzmQuzsAZ5; i-HtqAYT2HofS4owTcoSefFQ	i-FErqYyg4ctnxLzmQuzsAZ5	i-HtqAYT2HofS4owTcoSefFQ		i-FErqYyg4ctnxLzmQuzsAZ5; i-HtqAYT2HofS4owTcoSefFQ		False	2	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1881/mot-1881--ak--00162.xml
47	1882	data/1882/mot-1882--ak--00012.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-9faG75S9uS5dwmJ9GTvda1				i-9faG75S9uS5dwmJ9GTvda1			True	2	2	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1882/mot-1882--ak--00012.xml
48	1882	data/1882/mot-1882--ak--00093.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-8g3J5JC2XCnPcVSbLrtfED	i-8g3J5JC2XCnPcVSbLrtfED	i-8g3J5JC2XCnPcVSbLrtfED			i-8g3J5JC2XCnPcVSbLrtfED		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1882/mot-1882--ak--00093.xml
49	1882	data/1882/mot-1882--fk--00022.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-NjP1xjERFHKgSe8SCzjx72				i-NjP1xjERFHKgSe8SCzjx72			True	0	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1882/mot-1882--fk--00022.xml
50	1883	data/1883/mot-1883--ak--00006.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-YFzzFKh2NjM54cFjad2qWQ				i-YFzzFKh2NjM54cFjad2qWQ			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1883/mot-1883--ak--00006.xml
51	1883	data/1883/mot-1883--ak--00031.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-StedJdxnLqw4NbNmZQ7ibE				i-StedJdxnLqw4NbNmZQ7ibE			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1883/mot-1883--ak--00031.xml
52	1883	data/1883/mot-1883--ak--00044.xml	False	0.0	0.0	0.0	0	1	1	1	1	1.0	0.0	1.0	i-QNVcQXgDqnpMz9845nhFr1	i-3h4JLudD4ghwrTDYsHbDm4		i-3h4JLudD4ghwrTDYsHbDm4	i-QNVcQXgDqnpMz9845nhFr1	i-3h4JLudD4ghwrTDYsHbDm4		False	3	2	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1883/mot-1883--ak--00044.xml
53	1884	data/1884/mot-1884--ak--00015.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-7b4dYVJhQNDZvhFY8Qawzv				i-7b4dYVJhQNDZvhFY8Qawzv			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1884/mot-1884--ak--00015.xml
54	1884	data/1884/mot-1884--ak--00067.xml	False	0.0	0.0	0.0	0	0	2	2	0	1.0	0.0	0.0	i-37qgHWj8Zd858MSWDhN8Zo; i-7DD9UiYqJkTfq9tkRcCA2k				i-37qgHWj8Zd858MSWDhN8Zo; i-7DD9UiYqJkTfq9tkRcCA2k			True	3	3	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1884/mot-1884--ak--00067.xml
55	1884	data/1884/mot-1884--fk--00038.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-8cB9HzwUC3zBvWCxe32vRE	i-8cB9HzwUC3zBvWCxe32vRE	i-8cB9HzwUC3zBvWCxe32vRE			i-8cB9HzwUC3zBvWCxe32vRE		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1884/mot-1884--fk--00038.xml
56	1885	data/1885/mot-1885--ak--00030.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-LUnWpAjcsRaRqb78mxeJ15				i-LUnWpAjcsRaRqb78mxeJ15			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1885/mot-1885--ak--00030.xml
57	1885	data/1885/mot-1885--ak--00142.xml	False	1.0	0.5	0.6666666666666666	1	0	1	2	1	0.5	0.5	0.0	i-B1TD61aoCX1X8inXyshE45; i-DbdvN45VmHEK9gFMtoD6DC	i-DbdvN45VmHEK9gFMtoD6DC	i-DbdvN45VmHEK9gFMtoD6DC		i-B1TD61aoCX1X8inXyshE45	i-DbdvN45VmHEK9gFMtoD6DC		False	4	3	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1885/mot-1885--ak--00142.xml
58	1885	data/1885/mot-1885--fk--00053.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-NFdqatonfRsGCESVshuU5V				i-NFdqatonfRsGCESVshuU5V			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1885/mot-1885--fk--00053.xml
59	1886	data/1886/mot-1886--ak--00036.xml	False	0.0	0.0	0.0	0	0	5	5	0	1.0	0.0	0.0	i-3sN9DMuKUv4qbPVAGpgpoG; i-L9x9NkF1idfQrSZjXw8xc1; i-Lq454nVDYrDHNLUERQsYDn; i-Qdz4d8Ykv3zsRZVZxrcte1; i-TG7FNMEqNgriHtpUnpX6DL				i-3sN9DMuKUv4qbPVAGpgpoG; i-L9x9NkF1idfQrSZjXw8xc1; i-Lq454nVDYrDHNLUERQsYDn; i-Qdz4d8Ykv3zsRZVZxrcte1; i-TG7FNMEqNgriHtpUnpX6DL			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1886/mot-1886--ak--00036.xml
60	1886	data/1886/mot-1886--ak--00137.xml	True	1.0	1.0	1.0	1	0	0	1	1	0.0	1.0	0.0	i-K6LggWsK7BZ5j7BRK6tMfD	i-K6LggWsK7BZ5j7BRK6tMfD	i-K6LggWsK7BZ5j7BRK6tMfD			i-K6LggWsK7BZ5j7BRK6tMfD		False	1	0	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1886/mot-1886--ak--00137.xml
61	1886	data/1886/mot-1886--fk--00007.xml	False	0.0	0.0	0.0	0	0	1	1	0	1.0	0.0	0.0	i-YKcHW4nbwE58e3oApp2AGd				i-YKcHW4nbwE58e3oApp2AGd			True	1	1	0		0			https://github.com/swerik-project/riksdagen-motions/blob/main/data/1886/mot-1886--fk--00007.xml
