motion	parliament_year	chamber	annotation	most_probable_line	lev	wer	cer
data/1876/mot-1876--ak--00084.xml	1876	ak	till en reform nu torde vara något ljusare än de under åtskilliga år varit, och tiden	 till en reform nu torde vara något ljusare än de under åtskilliga år varit, och tiden	0	0.0	0.0
data/1876/mot-1876--ak--00084.xml	1876	ak	att Riksdagen måtte för sin del besluta sådana ändringar i	 att Riksdagen måtte för sin del besluta sådana ändringar i	0	0.0	0.0
data/1876/mot-1876--ak--00084.xml	1876	ak	Häruti instämmer	 Häruti instämmer	0	0.0	0.0
data/1876/mot-1876--fk--00001.xml	1876	fk	som § 62 uti kommunalförordningen omhandlar. Hvad folkskole- och	 som $ 62 uti kommunalförordningen omhandlar. Hvad folkskole- och	1	0.1111111119389534	0.015625
data/1876/mot-1876--fk--00001.xml	1876	fk	Uteslutande efter fyrktal afgöras:	 Uteslutande efter fyrktal afgöras:	0	0.0	0.0
data/1876/mot-1876--fk--00001.xml	1876	fk	Då frågor om skuldsättning mera än några andra inverka på kom-	 Då frågor om skuldsättning mera än några andra inverka på kom-	0	0.0	0.0
data/1876/mot-1876--fk--00014.xml	1876	fk	dagen måtte ingå med nådig proposition om olycksbidrag, men de hafva	 dagen måtte ingå med nådig proposition om olycksbidrag, men de hafva	0	0.0	0.0
data/1876/mot-1876--fk--00014.xml	1876	fk	socken, som genom skydraget den 18 sistline Augusti	socken, som genom skydraget den 18 sistlidne Augusti	1	0.125	0.0196078431372549
data/1876/mot-1876--fk--00014.xml	1876	fk	delas efter som deras uppskattade förluster ingå i den	 delas efter som deras uppskattade förluster ingå i den	0	0.0	0.0
data/1876/mot-1876--fk--00046.xml	1876	fk	lydelse: Under den tid Justitieombudsmannen är af svår	 lydelse: Under den tid Justitieombudsmannen är af svår	0	0.0	0.0
data/1876/mot-1876--fk--00046.xml	1876	fk	ningen upptagas och nu till vederbörligt Utskott hänvisas	 ningen upptagas och nu till vederbörligt Utskott hänvisas	0	0.0	0.0
data/1876/mot-1876--fk--00046.xml	1876	fk	Stockholm den 29 April 1876	 Stockholm den 29 April 1876	0	0.0	0.0
data/1877/mot-1877--ak--00004.xml	1877	ak	tingsmän i § 24 sagdt är.	 tingsmän i V 24 sagdt är.	1	0.1666666716337204	0.04
data/1877/mot-1877--ak--00004.xml	1877	ak	| ” |Gefleborgs | 5| Dito dito |	n » |GeflebOrg8. nisse 5 Dito dit	13	1.0	0.40625
data/1877/mot-1877--ak--00004.xml	1877	ak	| ” |Östergötlands | 2|samma som till landstingsmän| tingsmän.	dsg .......mmm..v.... 2samma som till landstingsmän| tingsmän. 	21	0.7142857313156128	0.3387096774193548
data/1877/mot-1877--ak--00078.xml	1877	ak	Stockholm den 27 Januari 1877.	 Stockholm den 27 Januari 1877.	0	0.0	0.0
data/1877/mot-1877--ak--00078.xml	1877	ak	och att det onda är af en ganska svår beskaffenhet framgår klart nog	 och att det onda är af en ganska svår beskaffenhet framgår klart nog	0	0.0	0.0
data/1877/mot-1877--ak--00078.xml	1877	ak	våldsamt ingrepp i eganderätten, för hvars genomförande otvifvelaktigt	 våldsamt ingrepp i eganderätten, för hvars genomförande otvifvelaktigt	0	0.0	0.0
data/1877/mot-1877--fk--00005.xml	1877	fk	och hushållningssällskap för de inkomster, som hittills på grund af stadgandena	 och hushållningssällskap för de inkomster, som hittills på grund af stadgandena	0	0.0	0.0
data/1877/mot-1877--fk--00005.xml	1877	fk	att dervid jemväl nedanstående §§ eller de dem i den nya lagen motsvarande	 att dervid jemväl nedanstående $$ eller de dem i den nya lagen motsvarande	2	0.07692307978868484	0.02702702702702703
data/1877/mot-1877--fk--00005.xml	1877	fk	dens ordförande inom första hälften af Mars det är då försäljning skall börjas.	 dens ordförande inom första hälften af Mars det år då försäljning skall börjas.	1	0.07692307978868484	0.012658227848101266
data/1877/mot-1877--fk--00009.xml	1877	fk	af en anmälan derom hos vederbörande pastor. Att detta icke är till-	 af en anmälan derom hos vederbörande pastor. Att detta icke är till-	0	0.0	0.0
data/1877/mot-1877--fk--00009.xml	1877	fk	tid, till exempel inom ett år, vågra att låta döpa sina barn; det andra,	 tid, till exempel inom ett år, vägra att låta döpa sina barn; det andra,	1	0.0714285746216774	0.013888888888888888
data/1877/mot-1877--fk--00009.xml	1877	fk	första innebär det alls icke någon garanti, att den utträdande också	 första innebär det alls icke någon garanti, att den utträdande också	0	0.0	0.0
data/1877/mot-1877--fk--00038.xml	1877	fk	Kongl. Maj:t i fråga om fardagsårsersättning åt visse	 Kongl. Maj:t i fråga om fardagsårsersättning åt visse	0	0.0	0.0
data/1877/mot-1877--fk--00038.xml	1877	fk	ningar med på lön anslagne boställen, men icke ännu hunnit samma bo-	 ningar med på lön anslagne boställen, men icke ännu hunnit samma bo-	0	0.0	0.0
data/1877/mot-1877--fk--00038.xml	1877	fk	saknad af detsamma. Han har i följd häraf, som jag längre fram skall	 saknad af detsamma. Han har i följd häraf, som jag längre fram skall	0	0.0	0.0
data/1878/mot-1878--ak--00010.xml	1878	ak	rörande Östersjön och insjöarne i vårt land, kräfva sin härd för stadig	 rörande Östersjön och insjöarne i vårt land, kräfva sin härd för stadig	0	0.0	0.0
data/1878/mot-1878--ak--00010.xml	1878	ak	landstings och hushållningssällskaps hörande till Riksdagen inkommit med	 landstings och hushållningssällskaps hörande till Riksdagen inkommit med	0	0.0	0.0
data/1878/mot-1878--ak--00010.xml	1878	ak	törer, som icke hade andra insigter i ämnet, än hvad de genom studerande	 törer, som icke hade andra insigter i ämnet, än hvad de genom studerande	0	0.0	0.0
data/1878/mot-1878--ak--00125.xml	1878	ak	het gjort sig i hög grad förtjent af sådant förtroende, i hvilket fall något	 het gjort sig i hög grad förtjent af sådant förtroende, i hvilket fall något	0	0.0	0.0
data/1878/mot-1878--ak--00125.xml	1878	ak	ciela och administrativa embets- och tjenstemäns icke så sällan rika och upplysta	 ciela och administrativa embets- och tjenstemäns icke så sällan rika och upplysta	0	0.0	0.0
data/1878/mot-1878--ak--00125.xml	1878	ak	ligt kommunalförfattningarne är dem obetaget att vara ordförande och vice ord-	 ligt kommunalförfattningarne är dem obetaget att vara ordförande och vice ord-	0	0.0	0.0
data/1878/mot-1878--ak--00155.xml	1878	ak	Riksdagsordningens 9 § föreskrifver att till ledamöter i Första	 Riksdagsordningens 9 $ föreskrifver att till ledamöter i Första	1	0.1111111119389534	0.015873015873015872
data/1878/mot-1878--ak--00155.xml	1878	ak	erfordras för en sådan valbarhet, hvilket också i regeln är fullkomligt rig-	 erfordras för en sådan valbarhet, hvilket också i regeln är fullkomligt rig-	0	0.0	0.0
data/1878/mot-1878--ak--00155.xml	1878	ak	lag får sin rätta tillämpning, är innehafvaren häraf icke valbar. Ett så-	 lag får sin rätta tillämpning, är innehafvaren häraf icke valbar. Ett så-	0	0.0	0.0
data/1878/mot-1878--fk--00009.xml	1878	fk	1 major. 3 majorer.	 1 major. 3 majorer.	0	0.0	0.0
data/1878/mot-1878--fk--00009.xml	1878	fk	8 fänrikar. 12 fänrikar.	 8 fänrikar. 12 fänrikar.	0	0.0	0.0
data/1878/mot-1878--fk--00009.xml	1878	fk	Kom så 1833 års lönereglering lika så väl behöflig, som i allmän-	 Kom så 1833 års lönereglering lika så väl behöflig, som i allmän-	0	0.0	0.0
data/1878/mot-1878--fk--00013.xml	1878	fk	Trybom och Studeranden Kinberg samt af två konservatorer, Herrar	 Trybom och Studeranden Kinberg samt af två konservatorer, Herrar	0	0.0	0.0
data/1878/mot-1878--fk--00013.xml	1878	fk	Nitzer och Piottuck.	 Nitzer och Piottuck.	0	0.0	0.0
data/1878/mot-1878--fk--00013.xml	1878	fk	tenta domares yttranden, vittna ej blott om Löjtnant Sandebergs egen	 tenta domares yttranden, vittna ej blott om Löjtnant Sandebergs egen	0	0.0	0.0
data/1878/mot-1878--fk--00030.xml	1878	fk	Men då den grannlaga och omsorgsfulla pröfning af hvarje möjligen	 Men då den grannlaga och omsorgsfulla pröfning af hvarje möjligen	0	0.0	0.0
data/1878/mot-1878--fk--00030.xml	1878	fk	nära nog med nödvändighet påkallad och icke kan annat än lända foster-	 nära nog med nödvändighet påkallad och icke kan annat än lända foster-	0	0.0	0.0
data/1878/mot-1878--fk--00030.xml	1878	fk	villkor och i den ordning, som Kongl. Maj:t finner lämpligt, för	 vilkor och i den ordning, som Kongl. Maj:t finner lämpligt, för 	1	0.09090909361839294	0.015625
data/1879/mot-1879--ak--00019.xml	1879	ak	jag anser kunna utan någon risk verkställas genom förhöjning i den	 jag anser kunna utan någon risk verkställas genom förhöjning i den	0	0.0	0.0
data/1879/mot-1879--ak--00019.xml	1879	ak	för afdelningskontoret i Göteborg icke meddelar lånesökande besked om	 för afdelningskontoret i Göteborg icke meddelar lånesökande besked om	0	0.0	0.0
data/1879/mot-1879--ak--00019.xml	1879	ak	bifall eller afslag förr än vid tiden då penningar kan finnas tillgäng-	 bifall eller afslag förr än vid tiden då penningar kan finnas tillgäng-	0	0.0	0.0
data/1879/mot-1879--ak--00020.xml	1879	ak	Stockholm den 25 Januari 1879.	 Stockholm den 25 Januari 1879.	0	0.0	0.0
data/1879/mot-1879--ak--00020.xml	1879	ak	ning jemväl på krononybyggen af gällande stadganden rö-	 ning jemväl på krononybyggen af gällande stadganden rö-	0	0.0	0.0
data/1879/mot-1879--ak--00020.xml	1879	ak	rande upplåtelse af åborätt till konohemman.	rande upplåtelse af åborätt till kronohemman.	1	0.1666666716337204	0.022727272727272728
data/1879/mot-1879--fk--00001.xml	1879	fk	ränte- och kapitalförsäkringsanstalter1) med mera dylikt, så befinnes att	 ränte- och kapitalförsäkringsanstalter') med mera dylikt, så befinnes att	1	0.1111111119389534	0.0136986301369863
data/1879/mot-1879--fk--00001.xml	1879	fk	| 1871 | 218 | 34 | 18,7 | 3 | - |	 a d 1871 218 34 18,7 3 = 1872 307 	18	0.8999999761581421	0.5294117647058824
data/1879/mot-1879--fk--00001.xml	1879	fk	dels af den ökning samma kapital undergått i ofvannämnda penninge-	 dels af den ökning samma kapital undergått i ofvannämnda penninge-	0	0.0	0.0
data/1879/mot-1879--fk--00003.xml	1879	fk	N:o 3.	 N:o 3.	0	0.0	0.0
data/1879/mot-1879--fk--00003.xml	1879	fk	def täcktes Kongl. Maj:t, efter förutgången utredning af sakkunnige män,	 det täcktes Kongl. Maj:t, efter förutgången utredning af sakkunnige män,	1	0.10000000149011612	0.013888888888888888
data/1879/mot-1879--fk--00003.xml	1879	fk	månader derefter den 14 Februari 1865, afslutade handels- och sjöfarts-	 månader derefter den 14 Februari 1865, afslutade handels- och sjöfarts-	0	0.0	0.0
data/1879/mot-1879--fk--00028.xml	1879	fk	derest icke inkomsten af jernvägen lemnade tillgång till räntor och af-	 derest icke inkomsten af jernvägen lemnade tillgång till räntor och af-	0	0.0	0.0
data/1879/mot-1879--fk--00028.xml	1879	fk	kronor, och stödjer jag min åsigt härutinnan på den värdering af jern-	 kronor, och stödjer jag min åsigt härutinnan på den värdering af jern-	0	0.0	0.0
data/1879/mot-1879--fk--00028.xml	1879	fk	håller jag före bör ske medelst öfverlemnande till säljaren al pari af	 håller jag före bör ske medelst öfverlemnande till säljaren al pari af	0	0.0	0.0
data/1880/mot-1880--ak--00022.xml	1880	ak	formen.	 formen.	0	0.0	0.0
data/1880/mot-1880--ak--00022.xml	1880	ak	sistberörda ovilkorliga rätt varda ändrad till en blott vilkorlig; under vissa	 sistberörda ovilkorliga rätt varda ändrad till en blott vilkorlig; under vissa	0	0.0	0.0
data/1880/mot-1880--ak--00022.xml	1880	ak	i konsistoriella gäll sannolikt skulle stranda på ordalydelsen af sista mo-	 i konsistoriella gäll sannolikt skulle stranda på ordalydelsen af sista mo-	0	0.0	0.0
data/1880/mot-1880--ak--00040.xml	1880	ak	skulle i betydlig mån förminskas.	 skulle i betydlig mån förminskas.	0	0.0	0.0
data/1880/mot-1880--ak--00040.xml	1880	ak	1:o sedan val af folkskolelärare egt rum, tjensten	 1:o sedan val af folkskolelärare egt rum, tjensten	0	0.0	0.0
data/1880/mot-1880--ak--00040.xml	1880	ak	2:o att folkskolelärare, som från sin innehafvande	 2:0 att folkskolelärare, som från sin innehafvande	1	0.1428571492433548	0.02
data/1880/mot-1880--ak--00121.xml	1880	ak	slut deltaga: samt att åt den, som dervid erhåller de flesta	 slut deltaga: samt alt åt den, som dervid erhåller de flesta	1	0.09090909361839294	0.016666666666666666
data/1880/mot-1880--ak--00121.xml	1880	ak	Af Herr Anders Nilsson: Om skatt å maltdrycker	 Af Herr Anders Nilsson: Om skatt å maltdrycker	0	0.0	0.0
data/1880/mot-1880--ak--00121.xml	1880	ak	har för länge sedan börjat öfversvämma landed och föra med sig många per-	 har för länge sedan börjat öfversvämma landet och föra med sig många per-	1	0.07692307978868484	0.0136986301369863
data/1880/mot-1880--fk--00030.xml	1880	fk	hvad städernas folkskolor beträffar, ersättes af teoretisk och praktisk un-	 hvad städernas folkskolor beträffar, ersättes af teoretisk och praktisk un-	0	0.0	0.0
data/1880/mot-1880--fk--00030.xml	1880	fk	dervisning i slöjd, och i landsbygdens fasta folkskolor af dylik undervis-	 dervisning i slöjd, och i landsbygdene fasta folkskolor at dylik undervis-	2	0.1818181872367859	0.02702702702702703
data/1880/mot-1880--fk--00030.xml	1880	fk	ning och teoretisk undervisning i hvad som tilljör jordbruket.	 ning och teoretisk undervisning i hvad som tillhör jordbruket.	1	0.1111111119389534	0.016129032258064516
data/1880/mot-1880--fk--00036.xml	1880	fk	han följt undervisiningen så väl vid städernas som landsbygdens folksko-	draga till att räntefoten i allmänhet ställer sig högre än den borde och 	54	1.0	0.75
data/1880/mot-1880--fk--00036.xml	1880	fk	Men de kunskaper, som vid slutad skolgång äro inhemtade, till-	de och kunde göra, om stats- banken icke deltog i denna täflan 	45	1.0	0.7258064516129032
data/1880/mot-1880--fk--00036.xml	1880	fk	hafva sin utkomst.	ta på sina egna sed	12	1.0	0.6666666666666666
data/1880/mot-1880--fk--00041.xml	1880	fk	större skäl för sig, då Riksdagen icke sammanträdde på långa mellan-	 större skäl för sig, då Riksdagen icke sammanträdde på långa mellan-	0	0.0	0.0
data/1880/mot-1880--fk--00041.xml	1880	fk	tider, nu deremot, då Riksdagen sammanträder oftare, kan icke samma	 tider, nu deremot, då Riksdagen sammanträder oftare, kan icke samma	0	0.0	0.0
data/1880/mot-1880--fk--00041.xml	1880	fk	ansåges behöfligt, en viss summa utsattes till oförutsedda utgifter och	 ansåges behöfligt, en viss summa utsattes till oförutsedda utgifter och	0	0.0	0.0
data/1881/mot-1881--ak--00071.xml	1881	ak	rätt att, efter vunnen befordran till tjenst vid allmänt läroverk eller	 rätt att, efter vunnen befordran till tjenst vid allmänt läroverk eller	0	0.0	0.0
data/1881/mot-1881--ak--00071.xml	1881	ak	måner i afseende på löneturs beräkning, som extra lärare och vikarier	 måner i afseende på löneturs beräkning, som extra lärare och vikarier	0	0.0	0.0
data/1881/mot-1881--ak--00071.xml	1881	ak	från och med åred näst efter berörda vilkors fullgö-	 från och med året näst efter berörda vilkors fullgö-	1	0.1111111119389534	0.019230769230769232
data/1881/mot-1881--ak--00111.xml	1881	ak	det ej kan på hållbara och giltiga skäl afvisas, och då uppfyllandet af	 det ej kan på hållbara och giltiga skäl afvisas, och då uppfyllandet af	0	0.0	0.0
data/1881/mot-1881--ak--00111.xml	1881	ak	drag. Så länge man emellertid uttager dylika bidrag (och de uttagas i	 drag. Så länge man emellertid uttager dylika bidrag (och de uttagas i	0	0.0	0.0
data/1881/mot-1881--ak--00111.xml	1881	ak	» » Torö 387 » 1,497 »	» » Torö nasssnnnn 37 P	12	0.6666666865348816	0.5454545454545454
data/1881/mot-1881--ak--00138.xml	1881	ak	Kyrkomötet begärt. De tillförordnade komitéernas behof att begagna biblioteket	 Kyrkomötet begärt. De tillförordnade komitéernas behof att begagna biblioteket	0	0.0	0.0
data/1881/mot-1881--ak--00138.xml	1881	ak	är naturligtvis olika, men att det kunnat och kan blifva ganska stort, framgår	 är naturligtvis olika, men att det kunnat och kan blifva ganska stort, framgår	0	0.0	0.0
data/1881/mot-1881--ak--00138.xml	1881	ak	det af en särskildt aflönad bibliotekarie vore af nödvändigheten påkalladt, befatt-	 det af en särskildt aflönad bibliotekarie vore af nödvändigheten påkalladt, befatt-	0	0.0	0.0
data/1881/mot-1881--fk--00006.xml	1881	fk	kronor!	 kronor!	0	0.0	0.0
data/1881/mot-1881--fk--00006.xml	1881	fk	intill slutet af 1879 4 %. Under Juni nästlidet år betalades endast 3½ %.	 intill slutet af 1879 4 4). Under Juni nästlidet år betalades endast 3'/2	6	0.23076923191547394	0.0821917808219178
data/1881/mot-1881--fk--00006.xml	1881	fk	denna ränta gått tillbaka till 4½ %. För 6 månaders deposition, hvil-	denna ränta gått tillbaka till 4'/2 4. För 6 månaders deposition, hvil	5	0.25	0.07246376811594203
data/1881/mot-1881--fk--00006.xml	1881	fk	betydelse, som ej tåla uppskof, och stora kapital böra ej ligga ränte-	 betydelse, som ej tåla uppskof, och stora kapital böra ej ligga ränte-	0	0.0	0.0
data/1881/mot-1881--fk--00006.xml	1881	fk	derpå, att, enligt § 18 i hypoteksbanklagen den 26 April 1861, hypoteks-	 derpå, att, enligt $ 18 i hypoteksbanklagen den 26 April 1861, hypoteks-	1	0.0833333358168602	0.013888888888888888
data/1881/mot-1881--fk--00006.xml	1881	fk	att en ledamot är satt i nödvändighet att i många fall ensam besluta,	 att en ledamot är satt i nödvändighet att i många fall ensam besluta,	0	0.0	0.0
data/1881/mot-1881--fk--00016.xml	1881	fk	Hudiksvall och Ljusdals station å norra stambanan m. m.	 Hudiksvall och Ljusdals station å norra stambanan m. m.	0	0.0	0.0
data/1881/mot-1881--fk--00016.xml	1881	fk	städernas hamnar vid Bottenviken och det inre landet gjort sig gällande och	 städernas hamnar vid Bottenviken och det inre landet gjort sig gällande och	0	0.0	0.0
data/1881/mot-1881--fk--00016.xml	1881	fk	Näsvikens jernvägar sålunda före byggandet af norra stambanan varit insedd	 Näsvikens jernvägar sålunda före byggandet af norra stambanan varit insedd	0	0.0	0.0
data/1882/mot-1882--ak--00020.xml	1882	ak	mun betalar en tredjedel.	 mun betalar en tredjedel.	0	0.0	0.0
data/1882/mot-1882--ak--00020.xml	1882	ak	nes antal mångdubblas, så att vårt land mäter sig med och kanske öfver-	 nes antal mångdubblas, så att vårt land mäter sig med och kanske öfver-	0	0.0	0.0
data/1882/mot-1882--ak--00020.xml	1882	ak	träffar häruti andra rikare och bättre lottade länder. Innan antalet af	 träffar häruti andra rikare och bättre lottade länder. Innan antalet af	0	0.0	0.0
data/1882/mot-1882--ak--00042.xml	1882	ak	toret tillstyrkt aflåtande af nådig proposition till Riksdagen för alla embets-	 toret tillstyrkt aflåtande af nådig proposition till Riksdagen för alla embets-	0	0.0	0.0
data/1882/mot-1882--ak--00042.xml	1882	ak	dags- och tjensteåren, då bohemmet icke fick tillträdas, ett hundrade	dags- och tjensteåren, då bohemmanet icke fick tillträdas, ett hundrad	3	0.20000000298023224	0.043478260869565216
data/1882/mot-1882--ak--00042.xml	1882	ak	indragningsstaten 2,500 kronor, jemte tjenstgöringspenningar, efter allmänna	 indragningsstaten 2,500 kronor, jemte tjenstgöringspenningar, efter allmänna	0	0.0	0.0
data/1882/mot-1882--ak--00111.xml	1882	ak	Landtränteriet; Landtmäteriprovinskontoret, Storskiftes-	 Landtränteriet; Landtmäteriprovinskontoret, Storskiftes-	0	0.0	0.0
data/1882/mot-1882--ak--00111.xml	1882	ak	statshus sålunda erhållits och blifvit till begagnande	 statshus sålunda erhållits och blifvit till begagnande	0	0.0	0.0
data/1882/mot-1882--ak--00111.xml	1882	ak	grunder, som i hosföljande promemoria finnas närmare angifna.	 grunder, som i hosföljande promemoria finnas närmare angifna.	0	0.0	0.0
